pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
Sinker,2023-07-26,95.1,-0.92,6.16,"Schmitt, Casey",669477,665734,No event,ball,NA,NA,NA,NA,14,Casey Schmitt walks.,R,R,Right,SF,OAK,Ball,NA,,0,1,2023,-1.16,0.68,0.69,1.45,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,669127,NA,NA,6.86479638951987,-138.126341849408,-8.2692674652247309,-16.4170338748874,30.1790152900767,-21.808085001002,3.45,1.65,NA,NA,NA,95.8,1880,6.7,717251,665734,669127,672478,680869,607054,669397,643393,668709,657656,53.76,NA,NA,NA,NA,NA,NA,NA,54,2,Sinker,5,3,5,3,3,5,5,3,Standard,Standard,210,0,0.021
Sinker,2023-07-26,95.1,-1.06,6.13,"Schmitt, Casey",669477,665734,No event,called_strike,NA,NA,NA,NA,12,Casey Schmitt walks.,R,R,Right,SF,OAK,Strike,NA,,0,0,2023,-1.15,0.66,0.89,3.26,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,669127,NA,NA,7.73797984794321,-138.386284848091,-3.45807463378274,-16.3689573526719,27.2834174632896,-23.0707494181703,3.32,1.71,NA,NA,NA,96.3,2428,6.7,717251,665734,669127,672478,680869,607054,669397,643393,668709,657656,53.81,NA,NA,NA,NA,NA,NA,NA,54,1,Sinker,5,3,5,3,3,5,5,3,Standard,Standard,177,0,-0.027
4-Seam,2023-07-25,95.3,2.25,5.59,"Schmitt, Casey",669477,686610,Sac fly,hit_into_play,NA,NA,NA,NA,11,Casey Schmitt out on a sacrifice fly to right fielder Cody Thomas.   Wilmer Flores scores.    Patrick Bailey to 3rd.,R,R,Left,SF,OAK,X,9,fly_ball,1,1,2023,1.03,1.21,-0.3,3.41,527038,672275,689172,1,5,Bot,195.07,132.22,NA,NA,669127,NA,NA,-9.1135667566031,-138.536299851359,-2.80651738180109,15.3618871815538,31.7640609790595,-16.1315533231521,3.25,1.54,239,81.2,50,96.1,2383,6.9,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.63,0.04,0.047,0,1,0,0,3,36,3,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Standard,131,0.025,-0.347
Changeup,2023-07-25,85.7,2.34,5.41,"Schmitt, Casey",669477,686610,No event,swinging_strike,NA,NA,NA,NA,6,Casey Schmitt out on a sacrifice fly to right fielder Cody Thomas.   Wilmer Flores scores.    Patrick Bailey to 3rd.,R,R,Left,SF,OAK,Strike,NA,,1,0,2023,1.24,0.34,0.48,2.6,527038,672275,689172,1,5,Bot,NA,NA,NA,NA,669127,NA,NA,-6.979410410823,-124.660296780051,-1.03841113553092,14.2763118645102,24.4667180719973,-28.6742321528569,3.25,1.54,NA,NA,NA,86.7,1547,6.9,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.62,NA,NA,NA,NA,NA,NA,NA,36,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,109,0,-0.185
Changeup,2023-07-25,85.1,2.44,5.48,"Schmitt, Casey",669477,686610,No event,ball,NA,NA,NA,NA,12,Casey Schmitt out on a sacrifice fly to right fielder Cody Thomas.   Wilmer Flores scores.    Patrick Bailey to 3rd.,R,R,Left,SF,OAK,Ball,NA,,0,0,2023,1.2,0.42,1.39,3.2,527038,672275,689172,1,5,Bot,NA,NA,NA,NA,669127,NA,NA,-4.94085612960561,-123.969744184685,0.0613621651619428,13.3767219790625,22.7976462057293,-28.0197835696824,3.39,1.56,NA,NA,NA,86.3,1525,6.8,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.68,NA,NA,NA,NA,NA,NA,NA,36,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,110,0,0.094
4-Seam,2023-07-25,96.7,2.08,5.76,"Schmitt, Casey",669477,686610,Field out,hit_into_play,NA,NA,NA,NA,5,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Seth Brown.",R,R,Left,SF,OAK,X,5,ground_ball,3,2,2023,0.65,1.35,-0.21,2.59,NA,NA,NA,1,3,Bot,108.11,172.26,NA,NA,669127,NA,NA,-7.73653243113895,-140.558921725274,-6.05341288950056,10.3491419480773,32.5465946019893,-13.1335642157481,3.25,1.54,2,80.6,-49,98.3,2356,7.3,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.21,0.14,0.126,0,1,0,0,2,19,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,134,-0.017,-0.208
4-Seam,2023-07-25,96.9,2.13,5.64,"Schmitt, Casey",669477,686610,No event,ball,NA,NA,NA,NA,13,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Seth Brown.",R,R,Left,SF,OAK,Ball,NA,,2,2,2023,0.77,1.2,-1.36,1.5,NA,NA,NA,1,3,Bot,NA,NA,NA,NA,669127,NA,NA,-11.2006760236355,-140.550454849199,-8.34534416724678,12.5654485846192,29.7615700915579,-14.4933531924081,3.36,1.56,NA,NA,NA,98.2,2409,7.1,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.43,NA,NA,NA,NA,NA,NA,NA,19,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,138,0,0.06
4-Seam,2023-07-25,95.7,2.07,5.72,"Schmitt, Casey",669477,686610,No event,foul_tip,NA,NA,NA,NA,12,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Seth Brown.",R,R,Left,SF,OAK,Strike,NA,,2,1,2023,0.56,1.5,0.03,3.63,NA,NA,NA,1,3,Bot,NA,NA,NA,NA,669127,NA,NA,-6.75414329410689,-139.133352024464,-3.27256056645326,8.93752475808494,35.0729081112525,-12.2433837694008,3.25,1.54,NA,NA,NA,96.4,2348,7,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.5,NA,NA,NA,NA,NA,NA,NA,19,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,142,0,-0.048
4-Seam,2023-07-25,95.4,2.26,5.67,"Schmitt, Casey",669477,686610,No event,swinging_strike,NA,NA,NA,NA,11,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Seth Brown.",R,R,Left,SF,OAK,Strike,NA,,2,0,2023,0.63,1.34,-0.16,3.62,NA,NA,NA,1,3,Bot,NA,NA,NA,NA,669127,NA,NA,-7.86577409149835,-138.694168140684,-2.79370663146216,9.90045987717813,31.445835054875,-14.5168830620101,3.25,1.54,NA,NA,NA,96.4,2310,6.9,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.57,NA,NA,NA,NA,NA,NA,NA,19,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,133,0,-0.039
2-Seam,2023-07-25,83.1,2.38,5.45,"Schmitt, Casey",669477,686610,No event,ball,NA,NA,NA,NA,13,"Casey Schmitt grounds out, third baseman Jace Peterson to first baseman Seth Brown.",R,R,Left,SF,OAK,Ball,NA,,1,0,2023,-1.09,-0.25,-0.61,0.59,NA,NA,NA,1,3,Bot,NA,NA,NA,NA,669127,NA,NA,-4.774031556402,-120.919560894898,-4.23368864670553,-9.76796515099229,23.9155073326736,-34.0091421903907,3.39,1.59,NA,NA,NA,84.3,2011,7.1,717272,686610,669127,664913,680869,607054,669397,643393,668709,642137,53.41,NA,NA,NA,NA,NA,NA,NA,19,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,291,0,0.041
