pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
4-Seam,2023-07-17,91,1.03,6.64,"Schmitt, Casey",669477,682227,No event,called_strike,NA,NA,NA,NA,2,Casey Schmitt walks.,R,R,Left,CIN,SF,Strike,NA,,3,0,2023,0.92,1.53,-0.27,3.24,NA,NA,NA,0,3,Top,NA,NA,NA,NA,663886,NA,NA,-5.21265472179661,-132.33105851655,-5.85540858871919,11.9709655651705,29.0854784223989,-13.1810749227572,3.38,1.6,NA,NA,NA,90.5,2257,6.1,717375,682227,663886,458015,663697,682829,680574,666181,670770,641584,54.42,NA,NA,NA,NA,NA,NA,NA,15,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,152,0,-0.078
4-Seam,2023-07-17,91.9,0.96,6.58,"Schmitt, Casey",669477,682227,No event,ball,NA,NA,NA,NA,9,Casey Schmitt walks.,R,R,Left,CIN,SF,Ball,NA,,2,0,2023,0.8,1.36,0.48,1.69,NA,NA,NA,0,3,Top,NA,NA,NA,NA,663886,NA,NA,-2.94962837791733,-133.548199039238,-9.4904459970218,10.2394015652166,27.8590720870328,-14.0384564465919,3.28,1.6,NA,NA,NA,91.9,2119,6.3,717375,682227,663886,458015,663697,682829,680574,666181,670770,641584,54.23,NA,NA,NA,NA,NA,NA,NA,15,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,149,0,0.135
Cutter,2023-07-17,88.7,1.21,6.55,"Schmitt, Casey",669477,682227,No event,ball,NA,NA,NA,NA,13,Casey Schmitt walks.,R,R,Left,CIN,SF,Ball,NA,,1,0,2023,0.09,0.8,-0.77,1.1,NA,NA,NA,0,3,Top,NA,NA,NA,NA,663886,NA,NA,-4.99692375221952,-128.949798631164,-8.9376623469805,1.99846622824529,24.9186282746199,-21.6434428741183,3.25,1.6,NA,NA,NA,88.4,2334,6,717375,682227,663886,458015,663697,682829,680574,666181,670770,641584,54.48,NA,NA,NA,NA,NA,NA,NA,15,2,Cutter,1,0,0,1,0,1,0,1,Strategic,Standard,156,0,0.065
2-Seam,2023-07-17,81.6,1.4,6.6,"Schmitt, Casey",669477,682227,No event,ball,NA,NA,NA,NA,13,Casey Schmitt walks.,R,R,Left,CIN,SF,Ball,NA,,0,0,2023,-0.83,0.55,-1.15,1.66,NA,NA,NA,0,3,Top,NA,NA,NA,NA,663886,NA,NA,-4.11778367663272,-118.670239025177,-5.52427122746084,-7.06496777811152,23.2900357857152,-26.150658735248,3.33,1.6,NA,NA,NA,80.9,2363,5.9,717375,682227,663886,458015,663697,682829,680574,666181,670770,641584,54.58,NA,NA,NA,NA,NA,NA,NA,15,1,Sweeper,1,0,0,1,0,1,0,1,Strategic,Standard,270,0,0.037
Splitter,2023-07-17,80.4,-1.27,6.1,"Schmitt, Casey",669477,518585,Strikeout,swinging_strike,NA,NA,NA,NA,11,Casey Schmitt strikes out swinging.,R,R,Right,CIN,SF,Strike,2,,1,2,2023,-0.15,1.65,-0.87,3.99,NA,NA,NA,1,7,Top,NA,NA,NA,NA,663886,NA,NA,1.18387468181289,-117.080721168748,-1.11356140542388,-1.64804057956359,22.538729518513,-16.9859853964337,3.32,1.6,NA,NA,NA,80.9,600,6.6,717375,518585,663886,458015,663697,682829,680574,666181,670770,641584,53.9,NA,NA,0,1,0,0,NA,46,5,Split-Finger,1,2,2,1,2,1,2,1,Standard,Standard,218,0.018,-0.118
Splitter,2023-07-17,80.7,-1.46,5.97,"Schmitt, Casey",669477,518585,No event,foul,NA,NA,NA,NA,11,Casey Schmitt strikes out swinging.,R,R,Right,CIN,SF,Strike,NA,,1,2,2023,-0.32,0,-1.12,3.23,NA,NA,NA,1,7,Top,NA,NA,NA,NA,663886,NA,NA,1.3597120073361,-117.613379707135,0.59214908898543,-3.19754096525657,22.7342443614465,-32.5530520560283,3.32,1.6,89,53.3,68,81.4,665,6.7,717375,518585,663886,458015,663697,682829,680574,666181,670770,641584,53.79,NA,NA,NA,NA,NA,NA,NA,46,4,Split-Finger,1,2,2,1,2,1,2,1,Strategic,Standard,238,0,0
Splitter,2023-07-17,80.9,-1.38,6.04,"Schmitt, Casey",669477,518585,No event,foul,NA,NA,NA,NA,11,Casey Schmitt strikes out swinging.,R,R,Right,CIN,SF,Strike,NA,,1,1,2023,-0.09,0.58,-0.91,3.36,NA,NA,NA,1,7,Top,NA,NA,NA,NA,663886,NA,NA,1.22856172001693,-117.992763982673,-0.519034720674212,-1.04193291164539,20.2673315662351,-26.8016301575544,3.32,1.6,185,69.3,28,82.3,746,6.9,717375,518585,663886,458015,663697,682829,680574,666181,670770,641584,53.64,NA,NA,NA,NA,NA,NA,NA,46,3,Split-Finger,1,2,2,1,2,1,2,1,Strategic,Standard,226,0,-0.044
4-Seam,2023-07-17,93.7,-1.5,5.79,"Schmitt, Casey",669477,518585,No event,called_strike,NA,NA,NA,NA,5,Casey Schmitt strikes out swinging.,R,R,Right,CIN,SF,Strike,NA,,1,0,2023,-0.67,1.38,0.07,2.05,NA,NA,NA,1,7,Top,NA,NA,NA,NA,663886,NA,NA,5.58078432562679,-136.163347452965,-6.99487567285415,-9.51177172467494,30.0323254250419,-13.6551492664187,3.2,1.43,NA,NA,NA,94.4,2323,6.8,717375,518585,663886,458015,663697,682829,680574,666181,670770,641584,53.74,NA,NA,NA,NA,NA,NA,NA,46,2,4-Seam Fastball,1,2,2,1,2,1,2,1,Strategic,Standard,217,0,-0.032
4-Seam,2023-07-17,92.9,-2.42,4.62,"Schmitt, Casey",669477,664747,Field out,hit_into_play,NA,NA,NA,NA,4,Casey Schmitt flies out to right fielder Jake Fraley.,R,R,Right,CIN,SF,X,9,fly_ball,0,0,2023,-0.8,1.02,-0.35,2.57,NA,NA,NA,1,9,Top,186.67,80.58,NA,NA,663886,NA,NA,7.24901641414998,-135.212856086477,-1.81725672563875,-11.247528927967,25.7760107759902,-19.3148366999878,3.32,1.6,329,95.5,41,96,2472,7.8,717375,664747,663886,458015,663697,682829,680574,666181,670770,641584,52.7,0.046,0.066,0,1,0,0,3,62,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,239,0.044,-0.168
Splitter,2023-07-17,82.3,-1.84,5.62,"Schmitt, Casey",669477,518585,No event,ball,NA,NA,NA,NA,14,Casey Schmitt strikes out swinging.,R,R,Right,CIN,SF,Ball,NA,,0,0,2023,0.31,0.32,0.67,0.94,NA,NA,NA,1,7,Top,NA,NA,NA,NA,663886,NA,NA,5.1313588673792,-119.725059942548,-4.74813434706989,1.98482202844441,22.6089263451256,-28.4190497092833,3.17,1.35,NA,NA,NA,83.1,2483,6.8,717375,518585,663886,458015,663697,682829,680574,666181,670770,641584,53.73,NA,NA,NA,NA,NA,NA,NA,46,1,Split-Finger,1,2,2,1,2,1,2,1,Strategic,Standard,99,0,0.026
Curveball,2023-07-16,79.4,-2.12,5.71,"Schmitt, Casey",669477,670280,Field out,hit_into_play,NA,NA,NA,NA,8,"Casey Schmitt grounds out, third baseman Jared Triolo to first baseman Connor Joe.",R,R,Right,PIT,SF,X,5,ground_ball,0,0,2023,0.54,-0.67,-0.03,1.72,NA,NA,NA,2,9,Top,98.73,167.23,NA,NA,641511,NA,NA,3.54915214736207,-115.693324123383,-0.766784763265798,4.27591361791075,20.1848665775963,-38.2939081642644,3.31,1.59,43,72.5,3,79.5,2463,6.2,717388,670280,641511,656582,693304,669707,672779,668804,641943,680779,54.34,0.126,0.116,0,1,0,0,2,72,1,Curveball,3,3,3,3,3,3,3,3,Standard,Standard,51,0.032,-0.106
Curveball,2023-07-14,73,1.57,5.73,"Schmitt, Casey",669477,448179,Double,hit_into_play,NA,NA,NA,NA,4,Casey Schmitt doubles (10) on a line drive to left fielder Bryan Reynolds.   Luis Matos to 3rd.,R,R,Left,PIT,SF,X,7,line_drive,1,2,2023,-1.32,-1.14,-0.44,2.58,NA,NA,682641,1,6,Top,61.76,110.87,NA,NA,595978,NA,NA,-1.75915654404541,-106.06098794325,3.14722493129408,-9.43431494971554,21.7632880100851,-41.5879292724262,3.32,1.6,289,98.6,20,72.1,2794,6.2,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,54.33,0.343,0.4,1.25,1,1,1,5,46,4,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,316,-0.127,1.025
4-Seam,2023-07-14,88.5,1.41,5.73,"Schmitt, Casey",669477,448179,No event,ball,NA,NA,NA,NA,12,Casey Schmitt doubles (10) on a line drive to left fielder Bryan Reynolds.   Luis Matos to 3rd.,R,R,Left,PIT,SF,Ball,NA,,0,2,2023,0.41,1.6,0.19,4.38,NA,NA,682641,1,6,Top,NA,NA,NA,NA,595978,NA,NA,-3.8607727689656,-128.798716550853,-0.512269327938625,5.41928272097913,28.7559601685488,-14.6229840585379,3.29,1.62,NA,NA,NA,88.6,2300,6.5,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,53.99,NA,NA,NA,NA,NA,NA,NA,46,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,151,0,0.034
Changeup,2023-07-14,83.1,1.65,5.58,"Schmitt, Casey",669477,448179,No event,foul,NA,NA,NA,NA,6,Casey Schmitt doubles (10) on a line drive to left fielder Bryan Reynolds.   Luis Matos to 3rd.,R,R,Left,PIT,SF,Strike,NA,,0,1,2023,1.18,0.23,0.31,2.46,NA,NA,682641,1,6,Top,NA,NA,NA,NA,595978,NA,NA,-5.35895136468556,-120.893159925261,-1.15519066854623,12.6020188412912,22.8690111863587,-29.8582762646474,3.32,1.6,185,66.7,48,82.7,1546,6,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,54.5,NA,NA,NA,NA,NA,NA,NA,46,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,139,0,-0.066
Cutter,2023-07-14,84,1.66,5.59,"Schmitt, Casey",669477,448179,No event,foul,NA,NA,NA,NA,4,Casey Schmitt doubles (10) on a line drive to left fielder Bryan Reynolds.   Luis Matos to 3rd.,R,R,Left,PIT,SF,Strike,NA,,0,0,2023,-0.47,0.83,-0.8,2.67,NA,NA,682641,1,6,Top,NA,NA,NA,NA,595978,NA,NA,-4.80460721363596,-122.282785275982,-2.04862499734722,-3.83177354775965,22.8523675775407,-23.6022867089084,3.32,1.6,109,64.6,73,84.6,2375,6.6,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,53.94,NA,NA,NA,NA,NA,NA,NA,46,1,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,187,0,-0.051
Changeup,2023-07-14,83.5,1.68,5.62,"Schmitt, Casey",669477,448179,Field out,hit_into_play,NA,NA,NA,NA,9,Casey Schmitt flies out to center fielder Jack Suwinski.,R,R,Left,PIT,SF,X,8,fly_ball,1,1,2023,0.98,0.38,0.76,2.12,NA,NA,682641,2,4,Top,129.63,97.53,NA,NA,595978,NA,NA,-4.04307900982008,-121.638936337658,-2.39355394648411,10.4875436818036,23.8494493480772,-28.1233050638756,3.32,1.6,268,76.7,38,83.4,1441,6.1,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,54.35,0.089,0.103,0,1,0,0,3,27,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,137,0.028,-0.224
4-Seam,2023-07-14,87.9,1.59,5.8,"Schmitt, Casey",669477,448179,No event,foul,NA,NA,NA,NA,5,Casey Schmitt flies out to center fielder Jack Suwinski.,R,R,Left,PIT,SF,Strike,NA,,1,0,2023,0.41,1.29,0.14,2.36,NA,NA,682641,2,4,Top,NA,NA,NA,NA,595978,NA,NA,-4.34780747713767,-127.86148307006,-4.87806233584421,5.35984960000275,26.1075169927779,-17.16166430144,3.32,1.6,125,74.7,11,87.5,2135,6,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,54.49,NA,NA,NA,NA,NA,NA,NA,27,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146,0,-0.046
Cutter,2023-07-14,84.1,1.75,5.59,"Schmitt, Casey",669477,448179,No event,ball,NA,NA,NA,NA,12,Casey Schmitt flies out to center fielder Jack Suwinski.,R,R,Left,PIT,SF,Ball,NA,,0,0,2023,-0.06,0.32,1.03,3.4,NA,NA,682641,2,4,Top,NA,NA,NA,NA,595978,NA,NA,-1.55165049121486,-122.610855322346,0.602452069444258,-0.317188730009113,22.1132550071797,-29.1984118730526,3.18,1.62,NA,NA,NA,84.4,2362,6.2,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,54.29,NA,NA,NA,NA,NA,NA,NA,27,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,198,0,0.029
4-Seam,2023-07-14,89.2,1.66,5.68,"Schmitt, Casey",669477,448179,Force out,hit_into_play,NA,NA,NA,NA,5,"Casey Schmitt grounds into a force out, fielded by second baseman Nick Gonzales.   Joc Pederson out at 2nd.",R,R,Left,PIT,SF,X,4,ground_ball,0,0,2023,0.58,0.95,0.12,2.46,NA,672275,592626,2,2,Top,141.15,150.86,NA,NA,595978,NA,NA,-5.03090082561667,-129.877001841698,-3.94608192957323,7.54119157128159,25.2838018457077,-20.7810819188291,3.32,1.6,3,89.6,-36,90.1,2264,6.7,717416,448179,595978,467793,693304,669707,672779,668804,669261,680779,53.84,0.069,0.066,0,1,0,0,2,11,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,145,0.045,-0.473
Slider,2023-07-14,88.3,1.61,5.55,"Schmitt, Casey",669477,621366,Strikeout,swinging_strike,NA,NA,NA,NA,13,Casey Schmitt strikes out swinging.,R,R,Left,PIT,SF,Strike,2,,1,2,2023,0.12,0.36,-0.68,1.3,NA,682641,NA,2,7,Top,NA,NA,NA,NA,595978,NA,NA,-5.86173290578776,-128.594080227191,-5.11098323203311,2.42799069197082,23.8123450118338,-27.4090099887376,3.29,1.62,NA,NA,NA,89.2,2236,6.6,717416,621366,595978,467793,693304,669707,672779,668804,669261,680779,53.93,NA,NA,0,1,0,0,NA,62,4,Slider,4,6,6,4,6,4,6,4,Strategic,Standard,161,0.025,-0.229
Sinker,2023-07-14,94.6,1.57,5.54,"Schmitt, Casey",669477,621366,No event,ball,NA,NA,NA,NA,11,Casey Schmitt strikes out swinging.,R,R,Left,PIT,SF,Ball,NA,,0,2,2023,1.4,0.69,-1.09,2.93,NA,NA,682641,2,7,Top,NA,NA,NA,NA,595978,NA,NA,-10.1042397835465,-137.429467264049,-2.66498337346325,19.903091498881,29.2843297536743,-23.0441045467118,3.18,1.62,NA,NA,NA,95.4,2280,6.7,717416,621366,595978,467793,693304,669707,672779,668804,669261,680779,53.75,NA,NA,NA,NA,NA,NA,NA,62,3,Sinker,4,6,6,4,6,4,6,4,Standard,Standard,130,-0.009,0.015
Slider,2023-07-14,87.2,1.69,5.6,"Schmitt, Casey",669477,621366,No event,foul,NA,NA,NA,NA,8,Casey Schmitt strikes out swinging.,R,R,Left,PIT,SF,Strike,NA,,0,1,2023,-0.07,0.62,0.19,2.13,NA,NA,682641,2,7,Top,NA,NA,NA,NA,595978,NA,NA,-3.47627692550925,-127.029874355033,-3.5598760729157,-0.190352832500697,22.9552863238176,-24.9317420677332,3.32,1.6,185,77.9,62,88,2354,6.5,717416,621366,595978,467793,693304,669707,672779,668804,669261,680779,54.03,NA,NA,NA,NA,NA,NA,NA,62,2,Slider,4,6,6,4,6,4,6,4,Standard,Standard,157,0,-0.044
Slider,2023-07-14,88.3,1.74,5.58,"Schmitt, Casey",669477,621366,No event,called_strike,NA,NA,NA,NA,6,Casey Schmitt strikes out swinging.,R,R,Left,PIT,SF,Strike,NA,,0,0,2023,-0.06,0.48,0.48,2.38,NA,NA,682641,2,7,Top,NA,NA,NA,NA,595978,NA,NA,-2.9505926705291,-128.685361385898,-2.78582762277337,-0.153999666101154,24.2535493001044,-26.4795906421361,3.23,1.62,NA,NA,NA,89.2,2271,6.6,717416,621366,595978,467793,693304,669707,672779,668804,669261,680779,53.94,NA,NA,NA,NA,NA,NA,NA,62,1,Slider,4,6,6,4,6,4,6,4,Standard,Standard,141,0,-0.04
Sinker,2023-07-09,88.6,1.63,5.65,"Schmitt, Casey",669477,607536,walk,ball,NA,NA,NA,NA,12,Casey Schmitt walks.,R,R,Left,SF,COL,Ball,NA,,3,1,2023,1.43,0.65,1.08,2.46,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,553869,NA,NA,-4.33264428658374,-128.900646816704,-3.07603390602954,16.7860449206893,27.7939038893745,-24.4790634319128,3.28,1.57,NA,NA,NA,89,2281,6.6,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.87,NA,NA,0.7,1,0,0,NA,50,5,Sinker,1,0,1,0,0,1,1,0,Strategic,Standard,136,0.02,0.166
Sinker,2023-07-09,87.3,1.52,5.62,"Schmitt, Casey",669477,607536,No event,ball,NA,NA,NA,NA,14,Casey Schmitt walks.,R,R,Left,SF,COL,Ball,NA,,2,1,2023,1.5,0.66,0.95,1.43,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,553869,NA,NA,-4.48002310018823,-126.957558491564,-5.30158212078377,17.118956582014,26.9239616810868,-24.115022460176,3.28,1.54,NA,NA,NA,87.7,2229,6.6,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.86,NA,NA,NA,NA,NA,NA,NA,50,4,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,137,0,0.077
Sinker,2023-07-09,88.2,1.3,5.81,"Schmitt, Casey",669477,607536,No event,ball,NA,NA,NA,NA,13,Casey Schmitt walks.,R,R,Left,SF,COL,Ball,NA,,1,1,2023,1.24,0.75,-1.22,1.77,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,553869,NA,NA,-8.75964204815749,-128.219256791438,-5.383398672187,15.458083075889,23.8010217379661,-22.9889125534018,3.25,1.57,NA,NA,NA,89.1,2274,6.7,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.82,NA,NA,NA,NA,NA,NA,NA,50,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,142,0,0.034
Changeup,2023-07-09,84.1,1.58,5.73,"Schmitt, Casey",669477,607536,No event,foul,NA,NA,NA,NA,6,Casey Schmitt walks.,R,R,Left,SF,COL,Strike,NA,,1,0,2023,0.96,0.73,0.65,2.14,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,553869,NA,NA,-4.0522451380032,-122.461943094675,-3.49577204105204,10.4056587785155,21.0946782512915,-24.301449543905,3.32,1.6,190,72.3,59,85,1475,6.5,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.95,NA,NA,NA,NA,NA,NA,NA,50,2,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,138,0,-0.032
Knuckle Curve,2023-07-09,78.8,1.62,5.69,"Schmitt, Casey",669477,607536,No event,ball,NA,NA,NA,NA,13,Casey Schmitt walks.,R,R,Left,SF,COL,Ball,NA,,0,0,2023,-0.27,-0.48,-2,1.15,NA,NA,NA,1,7,Bot,NA,NA,NA,NA,553869,NA,NA,-7.41740917307374,-114.721418245248,-2.28602195925615,-1.27243924336426,17.6937515592703,-36.2679538061811,3.74,1.6,NA,NA,NA,79.9,2400,6.7,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.82,NA,NA,NA,NA,NA,NA,NA,50,1,Knuckle Curve,1,0,1,0,0,1,1,0,Standard,Standard,325,0,0.026
Sinker,2023-07-09,87.4,1.6,5.69,"Schmitt, Casey",669477,607536,Double Play,hit_into_play,NA,NA,NA,NA,8,"Casey Schmitt grounds into a double play, third baseman Ryan McMahon to second baseman Harold Castro to first baseman C.  J. Cron.   Mike Yastrzemski out at 2nd.    Casey Schmitt out at 1st.",R,R,Left,SF,COL,X,5,ground_ball,2,0,2023,1.7,0.51,-0.13,2.11,NA,624424,573262,1,4,Bot,101.76,163.59,NA,NA,553869,NA,NA,-7.71213827666025,-126.982220097188,-3.47435070806245,19.9630240176927,28.6915802646283,-26.1540396745889,3.32,1.6,36,105,-2,87.5,2202,6.7,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.81,0.42,0.378,0,1,0,0,4,31,3,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,131,-0.08,-0.847
Sinker,2023-07-09,87.7,1.41,5.77,"Schmitt, Casey",669477,607536,No event,ball,NA,NA,NA,NA,13,"Casey Schmitt grounds into a double play, third baseman Ryan McMahon to second baseman Harold Castro to first baseman C.  J. Cron.   Mike Yastrzemski out at 2nd.    Casey Schmitt out at 1st.",R,R,Left,SF,COL,Ball,NA,,1,0,2023,1.38,0.65,-1.08,1.35,NA,624424,573262,1,4,Bot,NA,NA,NA,NA,553869,NA,NA,-8.92664741559215,-127.306034744189,-5.88790156907249,16.8367187075538,26.5628596766282,-24.0679450895518,3.22,1.57,NA,NA,NA,88.1,2211,6.7,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.81,NA,NA,NA,NA,NA,NA,NA,31,2,Sinker,1,0,1,0,0,1,1,0,Standard,Standard,148,0,0.138
Slider,2023-07-09,81.9,1.67,5.52,"Schmitt, Casey",669477,607536,No event,ball,NA,NA,NA,NA,13,"Casey Schmitt grounds into a double play, third baseman Ryan McMahon to second baseman Harold Castro to first baseman C.  J. Cron.   Mike Yastrzemski out at 2nd.    Casey Schmitt out at 1st.",R,R,Left,SF,COL,Ball,NA,,0,0,2023,0.03,0.25,-1.38,1.52,NA,624424,573262,1,4,Bot,NA,NA,NA,NA,553869,NA,NA,-7.02090503745033,-119.118676322099,-2.97112830477221,1.58456232680747,22.1260974647292,-29.4638438416389,3.35,1.63,NA,NA,NA,82.7,2283,6.8,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.7,NA,NA,NA,NA,NA,NA,NA,31,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,224,0,0.087
Sinker,2023-07-09,86.7,1.58,5.7,"Schmitt, Casey",669477,607536,Field out,hit_into_play,NA,NA,NA,NA,5,Casey Schmitt flies out to right fielder Kris Bryant.,R,R,Left,SF,COL,X,9,fly_ball,0,0,2023,1.1,0.45,0.12,2.31,NA,NA,682641,2,2,Bot,177.12,115.24,NA,NA,553869,NA,NA,-5.78332923384499,-126.133496928437,-2.87844335167093,12.9245751594847,24.7441657163899,-26.9392189779991,3.32,1.6,245,86.4,53,87.5,2191,6.7,717422,607536,553869,543068,605612,641857,678662,666134,686668,592178,53.77,0.017,0.015,0,1,0,0,3,15,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,140,-0.024,-0.241
Sinker,2023-07-08,92.5,0.22,6.3,"Schmitt, Casey",669477,472551,Field out,hit_into_play,NA,NA,NA,NA,7,Casey Schmitt flies out to right fielder Randal Grichuk.,R,R,Left,SF,COL,X,9,fly_ball,0,1,2023,1.1,0.7,-0.36,2.04,NA,NA,543063,1,6,Bot,171.6,100.76,NA,NA,642851,NA,NA,-3.84544958041799,-134.679644029285,-6.55162325323339,14.2706545266963,27.75272093765,-22.4936575253167,3.32,1.6,270,83.9,46,92,2042,5.8,717451,472551,642851,543068,676701,641857,678662,595777,686668,545341,54.66,0.011,0.012,0,1,0,0,3,51,2,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,139,-0.009,-0.254
Changeup,2023-07-08,77.1,0.04,6.53,"Schmitt, Casey",669477,472551,No event,called_strike,NA,NA,NA,NA,3,Casey Schmitt flies out to right fielder Randal Grichuk.,R,R,Left,SF,COL,Strike,NA,,0,0,2023,0.85,0.87,0.67,3.56,NA,NA,543063,1,6,Bot,NA,NA,NA,NA,642851,NA,NA,-0.215984750733074,-112.343986419821,-0.974441782163459,7.2791152215321,19.7500626808674,-24.8271162416437,3.49,1.6,NA,NA,NA,76.6,1651,5.8,717451,472551,642851,543068,676701,641857,678662,595777,686668,545341,54.74,NA,NA,NA,NA,NA,NA,NA,51,1,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,154,0,-0.051
4-Seam,2023-07-07,91.5,1.79,6.7,"Schmitt, Casey",669477,596295,Single,hit_into_play,NA,NA,NA,NA,2,Casey Schmitt singles on a sharp line drive to left fielder Nolan Jones.,R,R,Left,SF,COL,X,7,line_drive,2,0,2023,0.87,1.72,-0.26,2.94,NA,NA,NA,0,6,Bot,68.45,104.52,NA,NA,553869,NA,NA,-7.0542510805402,-132.941935998882,-7.31337462855471,11.8020545071026,28.6942088024042,-10.3829817469438,3.3,1.6,144,100.3,10,91.4,2261,6.4,717448,596295,553869,543068,605612,641857,678662,666134,686668,592178,54.14,0.8,0.776,0.9,1,1,0,4,40,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,149,0.059,0.29
4-Seam,2023-07-07,91.1,1.81,6.64,"Schmitt, Casey",669477,596295,No event,ball,NA,NA,NA,NA,13,Casey Schmitt singles on a sharp line drive to left fielder Nolan Jones.,R,R,Left,SF,COL,Ball,NA,,1,0,2023,0.83,2.03,-0.54,1.3,NA,NA,NA,0,6,Bot,NA,NA,NA,NA,553869,NA,NA,-7.70871729039617,-131.862018109285,-11.8198926227428,11.3778724891275,31.2923393409244,-5.98647433798409,3.53,1.76,NA,NA,NA,90.9,2356,6.7,717448,596295,553869,543068,605612,641857,678662,666134,686668,592178,53.78,NA,NA,NA,NA,NA,NA,NA,40,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,150,0,0.065
Sinker,2023-07-07,89.9,1.66,6.72,"Schmitt, Casey",669477,596295,No event,ball,NA,NA,NA,NA,4,Casey Schmitt singles on a sharp line drive to left fielder Nolan Jones.,R,R,Left,SF,COL,Ball,NA,,0,0,2023,1.04,1.84,-0.46,2.06,NA,NA,NA,0,6,Bot,NA,NA,NA,NA,553869,NA,NA,-7.46551994809715,-130.267739148264,-9.36329717978337,13.525464255761,30.7361444195788,-9.41286494198297,3.16,1.45,NA,NA,NA,89.4,2430,6.5,717448,596295,553869,543068,605612,641857,678662,666134,686668,592178,53.99,NA,NA,NA,NA,NA,NA,NA,40,1,Sinker,0,2,0,2,2,0,0,2,Standard,Standard,159,0,0.037
4-Seam,2023-07-07,90.2,1.71,6.74,"Schmitt, Casey",669477,596295,Field out,hit_into_play,NA,NA,NA,NA,1,Casey Schmitt pops out to first baseman C.  J. Cron.,R,R,Left,SF,COL,X,3,popup,1,0,2023,0.58,1.54,-0.69,3.17,NA,NA,NA,0,3,Bot,140.42,176.13,NA,NA,553869,NA,NA,-7.22615615398135,-131.099313575471,-6.20707956593182,8.25869772336479,27.3287919448392,-13.2352567385205,3.3,1.6,85,73.2,73,90.3,2077,6.4,717448,596295,553869,543068,605612,641857,678662,666134,686668,592178,54.11,0.001,0,0,1,0,0,3,20,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,156,-0.026,-0.275
